nsec 27;
sec	1	0	7.5484851758794e-05	4.7847548291052e-16	-7.9952;
sec	2	-2.22464826385962e-05	-0.0131574858862863	3.23229453720214	-7.9952;
sec	3	-0.00785242860552764	-0.026855088189739	6.46458907440428	-7.9952;
sec	4	-0.0203887752249149	-0.0294516981346247	7.54206368406549	-7.9952;
sec	5	-0.0583194283895283	-0.0304011307833522	9.37420364795753	-7.9952;
sec	6	-0.13643838470984	-0.0229719172758956	11.2074425919922	-7.9952;
sec	7	-0.243139659677419	-0.0138318502698979	13.1496206362457	-7.9355;
sec	8	-0.310906869512887	-0.00830332291915221	14.22909926852	-7.5752;
sec	9	-0.43010419516129	-0.00526128123840979	16.1722470011347	-6.9231;
sec	10	-0.621283642721673	-0.0194256591959799	19.6255227415302	-5.9017;
sec	11	-0.761890609952991	-0.0540624964840331	23.076212646296	-4.5645;
sec	12	-0.852335598261469	-0.10141087075539	26.5251786606419	-3.3337;
sec	13	-0.902020275024315	-0.160408003566218	29.9733904729292	-2.3649;
sec	14	-0.920070485151564	-0.231124143451127	33.4212790557627	-1.4676;
sec	15	-0.915134771393257	-0.31312099127087	36.8693831248987	-0.61157;
sec	16	-0.855394426325174	-0.498391804417248	43.3347264013616	0.21236;
sec	17	-0.771746953428432	-0.74174371810261	50.2316887416923	0.98962;
sec	18	-0.683477299343492	-1.0343525682404	57.1288665683255	1.6893;
sec	19	-0.596012486598314	-1.38368064548549	64.0258289086562	2.2859;
sec	20	-0.512234644488572	-1.79286758526503	70.9224680195332	2.7757;
sec	21	-0.43439883716972	-2.27061149217863	77.8186761578052	3.1719;
sec	22	-0.355643980770789	-2.86198132639001	85.1457491578862	3.4922;
sec	23	-0.334154609255957	-3.00476255041336	86.7620041696385	3.7481;
sec	24	-0.30892008580402	-3.15167033712919	88.3785824108445	3.9504;
sec	25	-0.275631761796888	-3.30315720777273	89.9950529088993	4.1417;
sec	26	-0.223988314544497	-3.45803798768034	91.6115234069541	4.4017;
sec	27	-0.0968546283757497	-3.59522734215432	93.0529112842438	5.6703;
exit;
